# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.6057
2,	5.6420
1,	14.5545
2,	18.7426
1,	26.9173
2,	32.0571
1,	40.8363
2,	45.1577
1,	53.3324
2,	57.5701
_ch0_neuron0,	0.5666
_ch0_neuron0,	1.5482
_ch0_neuron0,	2.4580
_ch0_neuron0,	3.3592
_ch0_neuron0,	4.2477
_ch0_neuron0,	5.1601
_ch0_neuron0,	6.1837
_ch0_neuron0,	7.3214
_ch0_neuron0,	8.4282
_ch0_neuron0,	9.5974
_ch0_neuron0,	10.7210
_ch0_neuron0,	11.8145
_ch0_neuron0,	12.8825
_ch0_neuron0,	13.9603
_ch0_neuron0,	14.9444
_ch0_neuron0,	15.8517
_ch0_neuron0,	16.7190
_ch0_neuron0,	17.5816
_ch0_neuron0,	18.4789
_ch0_neuron0,	19.5674
_ch0_neuron0,	20.7450
_ch0_neuron0,	21.8944
_ch0_neuron0,	23.0988
_ch0_neuron0,	24.2349
_ch0_neuron0,	25.3291
_ch0_neuron0,	26.4507
_ch0_neuron0,	27.5008
_ch0_neuron0,	28.4408
_ch0_neuron0,	29.3103
_ch0_neuron0,	30.1651
_ch0_neuron0,	31.0463
_ch0_neuron0,	32.0403
_ch0_neuron0,	33.1875
_ch0_neuron0,	34.3033
_ch0_neuron0,	35.5506
_ch0_neuron0,	36.7125
_ch0_neuron0,	37.8832
_ch0_neuron0,	38.9929
_ch0_neuron0,	40.0728
_ch0_neuron0,	41.1192
_ch0_neuron0,	42.0522
_ch0_neuron0,	42.9613
_ch0_neuron0,	43.8642
_ch0_neuron0,	44.7735
_ch0_neuron0,	45.7487
_ch0_neuron0,	46.7915
_ch0_neuron0,	47.9489
_ch0_neuron0,	49.0733
_ch0_neuron0,	50.1858
_ch0_neuron0,	51.3172
_ch0_neuron0,	52.3935
_ch0_neuron0,	53.4325
_ch0_neuron0,	54.4062
_ch0_neuron0,	55.3345
_ch0_neuron0,	56.2386
_ch0_neuron0,	57.1207
_ch0_neuron0,	58.0785
_ch0_neuron0,	59.1632
_ch0_neuron0,	60.3213
_ch0_neuron0,	61.4547
_ch0_neuron0,	62.6399
_neuron0threshhig11374,	0.0000
_neuron0threshlow7105,	0.0000
